method,seed,final_fitness,test_accuracy,test_avg_error,convergence_generation
ga,0,-0.5009999871253967,0.4,0.6,100
ga,1,-0.0010000000474974513,1.0,0.0,100
ga,2,-0.0010000000474974513,1.0,0.0,100
ga,3,-0.0010000000474974513,1.0,0.0,100
ga,4,-0.0010000000474974513,1.0,0.0,100
ga,5,-0.5009999871253967,0.4,0.6,100
ga,6,-0.0010000000474974513,1.0,0.0,100
ga,7,-0.0020000000949949026,1.0,0.0,100
ga,8,-0.0010000000474974513,1.0,0.0,100
ga,9,-0.0010000000474974513,1.0,0.0,100
ga,10,-0.0010000000474974513,1.0,0.0,100
ga,11,-0.0010000000474974513,1.0,0.0,100
ga,12,-0.0010000000474974513,1.0,0.0,100
ga,13,-0.0010000000474974513,1.0,0.0,100
ga,14,-0.0010000000474974513,1.0,0.0,100
ga,15,-0.0010000000474974513,1.0,0.0,100
ga,16,-0.5009999871253967,0.6,0.4,100
ga,17,-0.0010000000474974513,1.0,0.0,100
ga,18,-0.0010000000474974513,1.0,0.0,100
ga,19,-0.0010000000474974513,1.0,0.0,100
ga,20,-0.0010000000474974513,1.0,0.0,100
ga,21,-0.050999999046325684,1.0,0.0,100
ga,22,-0.0010000000474974513,1.0,0.0,100
ga,23,-0.0010000000474974513,1.0,0.0,100
ga,24,-0.0010000000474974513,1.0,0.0,100
ga,25,-0.0010000000474974513,1.0,0.0,100
ga,26,-0.0010000000474974513,1.0,0.0,100
ga,27,-0.0010000000474974513,1.0,0.0,100
ga,28,-0.0010000000474974513,1.0,0.0,100
ga,29,-0.0010000000474974513,1.0,0.0,100
ga,30,-0.0010000000474974513,1.0,0.0,100
ga,31,-0.0010000000474974513,1.0,0.0,100
ga,32,-0.0010000000474974513,1.0,0.0,100
ga,33,-0.0010000000474974513,1.0,0.0,100
ga,34,-0.0010000000474974513,1.0,0.0,100
ga,35,-0.0010000000474974513,1.0,0.0,100
ga,36,-0.0010000000474974513,1.0,0.0,100
ga,37,-0.0010000000474974513,1.0,0.0,100
ga,38,-0.0010000000474974513,1.0,0.0,100
ga,39,-0.0010000000474974513,1.0,0.0,100
ga,40,-0.0010000000474974513,1.0,0.0,100
ga,41,-0.0010000000474974513,1.0,0.0,100
ga,42,-0.0010000000474974513,1.0,0.0,100
ga,43,-0.0010000000474974513,1.0,0.0,100
ga,44,-0.0010000000474974513,1.0,0.0,100
ga,45,-0.0010000000474974513,1.0,0.0,100
ga,46,-0.0010000000474974513,1.0,0.0,100
ga,47,-0.0010000000474974513,1.0,0.0,100
ga,48,-0.0010000000474974513,1.0,0.0,100
ga,49,-0.0010000000474974513,1.0,0.0,100
random_search,0,-1.8550000190734863,0.0,11.0,100
random_search,1,-2.003999948501587,0.0,4.4,100
random_search,2,-2.003000020980835,0.0,58.0,100
random_search,3,-1.7009999752044678,0.2,1.8,100
random_search,4,-2.302999973297119,0.0,7.0,100
random_search,5,-2.3010001182556152,0.0,3.0,100
random_search,6,-1.5019999742507935,1.0,0.0,100
random_search,7,-1.8040000200271606,0.0,3.2,100
random_search,8,-2.503000020980835,0.0,6.2,100
random_search,9,-0.953000009059906,0.0,25.0,100
random_search,10,-2.802999973297119,0.0,8.0,100
random_search,11,-1.5010000467300415,0.0,1.6,100
random_search,12,-1.8020000457763672,0.0,9.0,100
random_search,13,-2.753999948501587,0.0,7.2,100
random_search,14,-2.803999900817871,0.2,0.8,100
random_search,15,-2.253000020980835,0.0,5.2,100
random_search,16,-2.1029999256134033,0.4,0.8,100
random_search,17,-2.6010000705718994,0.2,1.4,100
random_search,18,-0.5040000081062317,0.4,0.6,100
random_search,19,-2.502000093460083,0.0,2.4,100
random_search,20,-2.3010001182556152,0.0,8.0,100
random_search,21,-2.1510000228881836,0.0,4.0,100
random_search,22,-1.2009999752044678,0.2,2.0,100
random_search,23,-1.8519999980926514,0.0,4.8,100
random_search,24,-2.302000045776367,0.2,2.0,100
random_search,25,-2.553999900817871,0.0,28.6,100
random_search,26,-2.803999900817871,0.0,8.0,100
random_search,27,-1.5529999732971191,0.4,0.6,100
random_search,28,-2.752000093460083,0.0,37.6,100
random_search,29,-2.9019999504089355,0.2,1.2,100
random_search,30,-2.4019999504089355,0.0,4.8,100
random_search,31,-2.002000093460083,0.0,2.8,100
random_search,32,-1.9529999494552612,0.0,9.0,100
random_search,33,-1.7519999742507935,0.0,1.6,100
random_search,34,-1.6510000228881836,0.0,3.2,100
random_search,35,-1.6030000448226929,0.0,6.0,100
random_search,36,-2.2019999027252197,0.0,37.4,100
random_search,37,-2.6510000228881836,0.0,6.4,100
random_search,38,-1.9509999752044678,0.0,3.4,100
random_search,39,-1.7039999961853027,0.0,4.0,100
random_search,40,-1.9049999713897705,0.2,1.4,100
random_search,41,-3.2019999027252197,0.0,3.0,100
random_search,42,-1.8519999980926514,0.0,4.4,100
random_search,43,-2.2019999027252197,0.0,28.0,100
random_search,44,-2.6010000705718994,0.0,6.0,100
random_search,45,-2.8540000915527344,0.0,2.4,100
random_search,46,-2.3510000705718994,0.0,3.6,100
random_search,47,-1.6510000228881836,0.0,4.4,100
random_search,48,-2.4519999027252197,0.0,8.2,100
random_search,49,-2.9030001163482666,0.0,5.4,100
