method,seed,generation,samples,fitness,best_so_far
ga,0,0,2000,-4.302000045776367,-4.302000045776367
ga,0,1,4000,-4.302000045776367,-4.302000045776367
ga,0,2,6000,-4.302000045776367,-4.302000045776367
ga,0,3,8000,-4.302000045776367,-4.302000045776367
ga,0,4,10000,-4.302000045776367,-4.302000045776367
ga,0,5,12000,-4.302000045776367,-4.302000045776367
ga,0,6,14000,-4.302000045776367,-4.302000045776367
ga,0,7,16000,-4.302000045776367,-4.302000045776367
ga,0,8,18000,-3.3510000705718994,-3.3510000705718994
ga,0,9,20000,-3.3510000705718994,-3.3510000705718994
ga,0,10,22000,-3.3510000705718994,-3.3510000705718994
ga,0,11,24000,-3.3510000705718994,-3.3510000705718994
ga,0,12,26000,-3.3510000705718994,-3.3510000705718994
ga,0,13,28000,-3.3510000705718994,-3.3510000705718994
ga,0,14,30000,-3.3510000705718994,-3.3510000705718994
ga,0,15,32000,-2.6029999256134033,-2.6029999256134033
ga,0,16,34000,-2.6029999256134033,-2.6029999256134033
ga,0,17,36000,-2.6029999256134033,-2.6029999256134033
ga,0,18,38000,-2.002000093460083,-2.002000093460083
ga,0,19,40000,-2.002000093460083,-2.002000093460083
ga,0,20,42000,-2.002000093460083,-2.002000093460083
ga,0,21,44000,-2.002000093460083,-2.002000093460083
ga,0,22,46000,-2.002000093460083,-2.002000093460083
ga,0,23,48000,-2.002000093460083,-2.002000093460083
ga,0,24,50000,-2.002000093460083,-2.002000093460083
ga,0,25,52000,-1.9509999752044678,-1.9509999752044678
ga,0,26,54000,-1.9509999752044678,-1.9509999752044678
ga,0,27,56000,-1.9509999752044678,-1.9509999752044678
ga,0,28,58000,-1.9509999752044678,-1.9509999752044678
ga,0,29,60000,-1.9509999752044678,-1.9509999752044678
ga,0,30,62000,-1.5019999742507935,-1.5019999742507935
ga,0,31,64000,-1.5019999742507935,-1.5019999742507935
ga,0,32,66000,-1.5019999742507935,-1.5019999742507935
ga,0,33,68000,-1.5019999742507935,-1.5019999742507935
ga,0,34,70000,-1.5019999742507935,-1.5019999742507935
ga,0,35,72000,-1.5019999742507935,-1.5019999742507935
ga,0,36,74000,-1.5019999742507935,-1.5019999742507935
ga,0,37,76000,-1.5019999742507935,-1.5019999742507935
ga,0,38,78000,-1.4010000228881836,-1.4010000228881836
ga,0,39,80000,-1.3009999990463257,-1.3009999990463257
ga,0,40,82000,-1.3009999990463257,-1.3009999990463257
ga,0,41,84000,-1.3009999990463257,-1.3009999990463257
ga,0,42,86000,-1.3009999990463257,-1.3009999990463257
ga,0,43,88000,-1.3009999990463257,-1.3009999990463257
ga,0,44,90000,-1.2009999752044678,-1.2009999752044678
ga,0,45,92000,-1.2009999752044678,-1.2009999752044678
ga,0,46,94000,-1.2009999752044678,-1.2009999752044678
ga,0,47,96000,-1.003000020980835,-1.003000020980835
ga,0,48,98000,-1.003000020980835,-1.003000020980835
ga,0,49,100000,-1.0019999742507935,-1.0019999742507935
ga,0,50,102000,-1.0019999742507935,-1.0019999742507935
ga,0,51,104000,-1.0019999742507935,-1.0019999742507935
ga,0,52,106000,-1.0019999742507935,-1.0019999742507935
ga,0,53,108000,-1.0019999742507935,-1.0019999742507935
ga,0,54,110000,-1.0019999742507935,-1.0019999742507935
ga,0,55,112000,-1.0019999742507935,-1.0019999742507935
ga,0,56,114000,-0.5009999871253967,-0.5009999871253967
ga,0,57,116000,-0.5009999871253967,-0.5009999871253967
ga,0,58,118000,-0.5009999871253967,-0.5009999871253967
ga,0,59,120000,-0.5009999871253967,-0.5009999871253967
ga,0,60,122000,-0.5009999871253967,-0.5009999871253967
ga,0,61,124000,-0.5009999871253967,-0.5009999871253967
ga,0,62,126000,-0.5009999871253967,-0.5009999871253967
ga,0,63,128000,-0.5009999871253967,-0.5009999871253967
ga,0,64,130000,-0.5009999871253967,-0.5009999871253967
ga,0,65,132000,-0.5009999871253967,-0.5009999871253967
ga,0,66,134000,-0.5009999871253967,-0.5009999871253967
ga,0,67,136000,-0.5009999871253967,-0.5009999871253967
ga,0,68,138000,-0.5009999871253967,-0.5009999871253967
ga,0,69,140000,-0.5009999871253967,-0.5009999871253967
ga,0,70,142000,-0.5009999871253967,-0.5009999871253967
ga,0,71,144000,-0.5009999871253967,-0.5009999871253967
ga,0,72,146000,-0.5009999871253967,-0.5009999871253967
ga,0,73,148000,-0.5009999871253967,-0.5009999871253967
ga,0,74,150000,-0.5009999871253967,-0.5009999871253967
ga,0,75,152000,-0.5009999871253967,-0.5009999871253967
ga,0,76,154000,-0.5009999871253967,-0.5009999871253967
ga,0,77,156000,-0.5009999871253967,-0.5009999871253967
ga,0,78,158000,-0.5009999871253967,-0.5009999871253967
ga,0,79,160000,-0.5009999871253967,-0.5009999871253967
ga,0,80,162000,-0.5009999871253967,-0.5009999871253967
ga,0,81,164000,-0.5009999871253967,-0.5009999871253967
ga,0,82,166000,-0.5009999871253967,-0.5009999871253967
ga,0,83,168000,-0.5009999871253967,-0.5009999871253967
ga,0,84,170000,-0.5009999871253967,-0.5009999871253967
ga,0,85,172000,-0.5009999871253967,-0.5009999871253967
ga,0,86,174000,-0.5009999871253967,-0.5009999871253967
ga,0,87,176000,-0.5009999871253967,-0.5009999871253967
ga,0,88,178000,-0.5009999871253967,-0.5009999871253967
ga,0,89,180000,-0.5009999871253967,-0.5009999871253967
ga,0,90,182000,-0.5009999871253967,-0.5009999871253967
ga,0,91,184000,-0.5009999871253967,-0.5009999871253967
ga,0,92,186000,-0.5009999871253967,-0.5009999871253967
ga,0,93,188000,-0.5009999871253967,-0.5009999871253967
ga,0,94,190000,-0.5009999871253967,-0.5009999871253967
ga,0,95,192000,-0.5009999871253967,-0.5009999871253967
ga,0,96,194000,-0.5009999871253967,-0.5009999871253967
ga,0,97,196000,-0.5009999871253967,-0.5009999871253967
ga,0,98,198000,-0.5009999871253967,-0.5009999871253967
ga,0,99,200000,-0.5009999871253967,-0.5009999871253967
ga,1,0,2000,-7.303999900817871,-7.303999900817871
ga,1,1,4000,-7.105000019073486,-7.105000019073486
ga,1,2,6000,-7.105000019073486,-7.105000019073486
ga,1,3,8000,-6.504000186920166,-6.504000186920166
ga,1,4,10000,-6.4019999504089355,-6.4019999504089355
ga,1,5,12000,-5.453000068664551,-5.453000068664551
ga,1,6,14000,-5.453000068664551,-5.453000068664551
ga,1,7,16000,-5.453000068664551,-5.453000068664551
ga,1,8,18000,-5.4039998054504395,-5.4039998054504395
ga,1,9,20000,-5.10099983215332,-5.10099983215332
ga,1,10,22000,-5.10099983215332,-5.10099983215332
ga,1,11,24000,-4.953000068664551,-4.953000068664551
ga,1,12,26000,-4.502999782562256,-4.502999782562256
ga,1,13,28000,-4.502999782562256,-4.502999782562256
ga,1,14,30000,-4.502999782562256,-4.502999782562256
ga,1,15,32000,-4.502999782562256,-4.502999782562256
ga,1,16,34000,-4.502999782562256,-4.502999782562256
ga,1,17,36000,-3.7009999752044678,-3.7009999752044678
ga,1,18,38000,-3.7009999752044678,-3.7009999752044678
ga,1,19,40000,-2.3529999256134033,-2.3529999256134033
ga,1,20,42000,-2.3529999256134033,-2.3529999256134033
ga,1,21,44000,-2.3529999256134033,-2.3529999256134033
ga,1,22,46000,-1.9019999504089355,-1.9019999504089355
ga,1,23,48000,-1.9019999504089355,-1.9019999504089355
ga,1,24,50000,-1.9019999504089355,-1.9019999504089355
ga,1,25,52000,-1.9019999504089355,-1.9019999504089355
ga,1,26,54000,-1.9019999504089355,-1.9019999504089355
ga,1,27,56000,-1.9019999504089355,-1.9019999504089355
ga,1,28,58000,-1.8009999990463257,-1.8009999990463257
ga,1,29,60000,-1.8009999990463257,-1.8009999990463257
ga,1,30,62000,-1.8009999990463257,-1.8009999990463257
ga,1,31,64000,-1.8009999990463257,-1.8009999990463257
ga,1,32,66000,-1.8009999990463257,-1.8009999990463257
ga,1,33,68000,-1.8009999990463257,-1.8009999990463257
ga,1,34,70000,-1.8009999990463257,-1.8009999990463257
ga,1,35,72000,-1.8009999990463257,-1.8009999990463257
ga,1,36,74000,-1.0010000467300415,-1.0010000467300415
ga,1,37,76000,-1.0010000467300415,-1.0010000467300415
ga,1,38,78000,-1.0010000467300415,-1.0010000467300415
