method,generation,samples,fitness_mean,fitness_std,fitness_min,fitness_max,fitness_count,best_so_far_mean,best_so_far_std,best_so_far_min,best_so_far_max,fitness_ci_lower,fitness_ci_upper,best_ci_lower,best_ci_upper
ga,0,2000,-6.3139,1.6281,-9.502,-1.956,50,-6.3139,1.6281,-9.502,-1.956,-6.765186295776329,-5.862613704223672,-6.765186295776329,-5.862613704223672
ga,1,4000,-5.6428,1.5297,-9.002,-1.956,50,-5.6428,1.5297,-9.002,-1.956,-6.066811207326976,-5.218788792673024,-6.066811207326976,-5.218788792673024
ga,2,6000,-2.0992,2.3703,-8.404,-0.001,50,-2.0992,2.3703,-8.404,-0.001,-2.7562136397510177,-1.4421863602489826,-2.7562136397510177,-1.4421863602489826
ga,3,8000,-2.088,2.1443,-6.504,-0.001,50,-1.869,2.0358,-6.504,-0.001,-2.682369635792139,-1.4936303642078612,-2.4332949701747126,-1.3047050298252874
ga,4,10000,-1.7572,1.8836,-6.402,-0.001,50,-1.611,1.8839,-6.402,-0.001,-2.279307282552849,-1.2350927174471515,-2.133190438310316,-1.088809561689684
ga,5,12000,-1.5531,1.7082,-5.453,-0.001,50,-1.4649,1.686,-5.453,-0.001,-2.0265888830201613,-1.0796111169798386,-1.9322353569675634,-0.9975646430324366
ga,6,14000,-1.304,1.582,-5.453,-0.001,50,-1.224,1.5434,-5.453,-0.001,-1.7425080277121503,-0.8654919722878498,-1.6518086535846603,-0.7961913464153396
ga,7,16000,-1.2069,1.5324,-5.453,-0.001,50,-1.08,1.4767,-5.453,-0.001,-1.6316596091441842,-0.782140390855816,-1.4893203568410445,-0.6706796431589557
ga,8,18000,-1.1168,1.4834,-5.404,-0.001,50,-0.9571,1.394,-5.404,-0.001,-1.5279775020911528,-0.7056224979088472,-1.3434970863658264,-0.5707029136341735
ga,9,20000,-1.0107,1.4548,-5.104,-0.001,50,-0.9039,1.3885,-5.104,-0.001,-1.4139499865459142,-0.6074500134540857,-1.2887725641455883,-0.5190274358544118
ga,10,22000,-0.9917,1.4429,-5.104,-0.001,50,-0.8669,1.3668,-5.104,-0.001,-1.3916514748330353,-0.5917485251669647,-1.245757631022103,-0.48804236897789693
ga,11,24000,-0.9287,1.4212,-5.104,-0.001,50,-0.8028,1.3427,-5.104,-0.001,-1.3226365417095498,-0.53476345829045,-1.1749774518388776,-0.43062254816112244
ga,12,26000,-0.8249,1.3108,-4.503,-0.001,50,-0.7149,1.2329,-4.503,-0.001,-1.1882352229614959,-0.461564777038504,-1.0566424446057585,-0.37315755539424134
ga,13,28000,-0.8596,1.3396,-4.503,-0.001,50,-0.7149,1.2329,-4.503,-0.001,-1.2309181756783796,-0.48828182432162043,-1.0566424446057585,-0.37315755539424134
ga,14,30000,-0.7397,1.2113,-4.503,-0.001,50,-0.6828,1.1989,-4.503,-0.001,-1.075455230068096,-0.40394476993190415,-1.0151181254261044,-0.3504818745738957
ga,15,32000,-0.7176,1.1807,-4.503,-0.001,50,-0.6599,1.1667,-4.503,-0.001,-1.044873342806407,-0.390326657193593,-0.9832927407912553,-0.3365072592087448
ga,16,34000,-0.6786,1.1876,-4.503,-0.001,50,-0.6367,1.1721,-4.503,-0.001,-1.0077859252281605,-0.3494140747718396,-0.961589544425671,-0.3118104555743291
ga,17,36000,-0.6415,1.1368,-4.153,-0.001,50,-0.5996,1.1191,-4.153,-0.001,-0.9566048836303238,-0.32639511636967605,-0.9097986939397391,-0.2894013060602609
ga,18,38000,-0.5335,0.9121,-3.701,-0.001,50,-0.5016,0.8951,-3.701,-0.001,-0.786321221287138,-0.28067877871286195,-0.7497090616973109,-0.2534909383026892
ga,19,40000,-0.4575,0.7906,-2.353,-0.001,50,-0.4336,0.7833,-2.353,-0.001,-0.6766431395127851,-0.23835686048721494,-0.6507196827477416,-0.21648031725225833
ga,20,42000,-0.4425,0.7734,-2.353,-0.001,50,-0.4225,0.7716,-2.353,-0.001,-0.6568755427513129,-0.2281244572486871,-0.6363766082065077,-0.2086233917934923
ga,21,44000,-0.4164,0.7236,-2.353,-0.001,50,-0.3964,0.7209,-2.353,-0.001,-0.6169716870117016,-0.21582831298829838,-0.5962232851944937,-0.1965767148055062
ga,22,46000,-0.4094,0.7248,-2.352,-0.001,50,-0.3774,0.693,-2.302,-0.001,-0.6103043100415717,-0.20849568995842824,-0.5694897997500128,-0.1853102002499873
ga,23,48000,-0.4004,0.7195,-2.352,-0.001,50,-0.3684,0.687,-2.302,-0.001,-0.5998352249929786,-0.20096477500702137,-0.558826684600662,-0.177973315399338
ga,24,50000,-0.4004,0.7195,-2.352,-0.001,50,-0.3684,0.687,-2.302,-0.001,-0.5998352249929786,-0.20096477500702137,-0.558826684600662,-0.177973315399338
ga,25,52000,-0.3835,0.7151,-2.352,-0.001,50,-0.3515,0.6817,-2.302,-0.001,-0.581715607216788,-0.185284392783212,-0.5404575995520688,-0.16254240044793117
ga,26,54000,-0.3825,0.7137,-2.352,-0.001,50,-0.3505,0.6801,-2.302,-0.001,-0.5803275470152729,-0.18467245298472715,-0.5390141021789085,-0.16198589782109135
ga,27,56000,-0.3464,0.6867,-2.352,-0.001,50,-0.3144,0.6499,-2.302,-0.001,-0.5367435288431944,-0.15605647115680554,-0.4945430892605098,-0.13425691073949023
