datetime_utc,run_id,checkpoint,task_id,task_description,initial_fitness,final_fitness,program,rule
2025-06-30 19:36:01,376fe1c6,50,1,multiply by 2,-10.104000091552734,-0.0010000000474974513,"0,0,0,0,0,0,1,0,0,0","0,1,0,0,0,0,2,3,2,0,1,3,3,3,2,3,1,1,3,3,0,1,3,3,3,1,1,0,3,2,2,2,0,1,3,0,3,0,1,3,2,2,3,3,3,1,2,2,0,3,3,3,0,3,2,1,1,3,2,3,3,3,1,3"
2025-06-30 19:37:07,376fe1c6,100,1,multiply by 2,-10.104000091552734,-0.0010000000474974513,"0,0,0,0,0,0,1,0,0,0","0,1,0,0,0,3,2,0,2,1,2,0,3,2,2,3,1,1,3,3,0,3,0,3,0,1,0,0,2,2,2,2,0,1,3,2,0,3,1,3,0,2,3,1,3,2,2,2,0,3,0,2,0,3,3,2,1,3,2,3,3,1,2,3"
2025-06-30 19:38:11,376fe1c6,150,1,multiply by 2,-10.104000091552734,-0.0010000000474974513,"0,0,0,0,0,0,1,0,0,0","0,1,0,0,0,0,2,0,2,0,1,2,0,3,2,3,1,1,3,3,3,0,2,0,2,2,0,1,2,3,1,3,0,1,0,0,0,2,0,1,1,0,3,3,3,2,2,2,0,3,0,0,0,3,2,0,1,3,2,3,3,1,0,3"
2025-06-30 19:39:12,376fe1c6,200,1,multiply by 2,-10.104000091552734,-0.0010000000474974513,"0,0,1,0,0,0,0,0,0,0","0,1,0,0,0,1,3,3,2,1,0,2,1,3,2,3,1,1,3,3,0,0,0,0,2,1,2,0,3,3,1,3,0,1,0,0,0,0,3,0,0,0,1,0,3,3,2,2,0,3,3,1,0,1,2,0,1,3,2,3,3,3,1,3"
2025-06-30 19:40:56,157000ff,50,2,multiply by 3 ,-15.26866626739502,-3.06766676902771,"0,0,0,0,0,1,0,0,0,0","0,1,0,0,0,3,3,3,2,0,3,2,3,2,3,3,1,1,3,0,3,0,3,0,2,2,3,2,2,3,2,1,0,3,0,3,3,2,3,2,1,2,2,0,1,2,1,0,0,2,0,0,2,3,3,1,1,1,0,1,3,2,1,0"
2025-06-30 19:42:02,157000ff,100,2,multiply by 3 ,-15.26866626739502,-1.0010000467300415,"0,0,0,0,0,1,0,0,0,0","0,2,0,0,0,3,3,1,2,2,1,0,3,2,3,3,1,1,3,0,1,2,3,1,2,1,1,1,3,0,1,0,0,3,0,3,3,2,3,2,0,1,3,3,0,2,3,1,0,1,0,0,3,3,0,3,1,3,2,0,3,3,2,1"
2025-06-30 19:43:03,157000ff,150,2,multiply by 3 ,-15.26866626739502,-1.0010000467300415,"0,0,0,0,0,1,0,0,0,0","0,1,0,0,0,3,3,2,2,0,0,3,3,2,3,3,1,1,3,0,0,3,3,1,2,2,3,3,0,3,2,2,0,0,3,2,1,0,3,2,0,3,3,3,0,1,1,1,0,1,3,0,3,3,0,2,1,1,3,3,3,0,3,1"
2025-06-30 19:44:08,157000ff,200,2,multiply by 3 ,-15.26866626739502,-1.0010000467300415,"0,0,0,1,0,0,0,0,0,0","0,1,0,0,0,0,3,3,2,1,3,3,3,2,3,3,1,1,3,0,0,1,0,3,3,1,3,3,0,3,0,1,0,0,2,3,0,3,3,2,0,3,3,0,0,1,1,1,0,3,3,0,3,3,1,2,1,0,3,0,3,0,2,1"
2025-06-30 20:31:59,1941911b,50,2,multiply by 3 ,-15.135333061218262,-3.068666696548462,"0,1,0,0,0,1,0,0,0,0","0,1,0,0,2,2,3,0,2,3,2,3,3,3,3,3,1,1,1,3,3,0,1,3,0,1,0,3,3,3,0,3,0,0,3,0,2,2,1,1,1,1,1,2,1,2,0,0,0,1,0,2,1,1,1,0,3,2,1,0,3,2,2,0"
2025-06-30 20:34:40,1941911b,100,2,multiply by 3 ,-15.135333061218262,-0.5009999871253967,"0,0,0,0,0,0,0,1,0,0","0,2,0,0,2,2,3,0,2,3,2,3,3,3,3,3,1,1,1,3,3,0,1,3,0,1,0,3,3,3,0,3,0,0,3,0,2,2,1,1,1,1,2,2,0,2,0,0,0,1,0,2,1,1,1,0,3,0,1,0,3,0,1,2"
2025-06-30 20:37:07,1941911b,150,2,multiply by 3 ,-15.135333061218262,-0.0010000000474974513,"0,0,0,0,0,0,1,0,0,0","0,3,0,0,2,2,3,0,2,3,0,3,3,0,0,3,1,1,1,3,3,0,1,3,0,1,3,3,0,2,0,3,0,0,2,0,2,2,1,1,0,1,2,2,0,2,1,1,0,1,3,3,1,1,1,0,3,2,3,0,3,3,0,2"
2025-06-30 20:39:41,1941911b,200,2,multiply by 3 ,-15.135333061218262,-0.0010000000474974513,"0,0,0,0,0,0,0,1,0,0","0,3,0,0,2,2,3,2,2,3,0,3,3,0,0,3,1,1,1,3,3,0,1,1,0,1,2,3,0,0,0,3,0,3,3,0,2,2,1,1,1,1,2,2,0,2,0,0,0,0,0,2,1,1,1,0,0,1,1,0,3,3,0,3"
2025-06-30 21:03:49,04be9ab7,50,10,modulo 4,-5.73633337020874,-0.40400001406669617,"0,0,1,0,0,1,2,0,0,1","0,1,0,0,0,0,1,0,2,1,2,3,3,0,2,3,1,1,3,2,2,2,3,1,3,3,3,1,3,1,1,1,0,1,0,1,0,2,0,1,3,3,2,2,0,2,3,2,0,0,0,2,0,0,2,0,3,1,0,0,3,0,0,2"
2025-06-30 21:06:35,04be9ab7,100,10,modulo 4,-5.73633337020874,-0.40299999713897705,"0,0,0,0,2,2,0,0,1,0","0,1,0,0,0,3,1,0,2,1,2,3,3,0,2,3,1,1,3,2,2,2,3,1,3,3,3,1,3,1,1,1,0,1,0,1,3,2,0,0,3,3,2,2,0,1,3,2,0,0,0,1,0,1,2,0,3,1,0,0,3,0,0,2"
2025-06-30 21:09:05,04be9ab7,150,10,modulo 4,-5.73633337020874,-0.003000000026077032,"0,0,2,1,0,0,0,0,1,0","0,1,0,0,0,0,1,3,2,3,2,3,3,1,2,3,1,1,3,2,2,2,3,2,1,3,3,3,3,1,1,1,0,1,3,1,0,2,0,1,0,3,2,2,0,1,0,2,0,0,0,1,0,1,2,3,3,1,0,0,3,0,0,2"
2025-06-30 21:11:45,04be9ab7,200,10,modulo 4,-5.73633337020874,-0.003000000026077032,"0,0,2,1,0,0,0,0,1,0","0,1,0,0,0,0,1,3,2,3,2,3,3,1,2,3,1,1,3,2,2,2,3,0,1,3,3,3,3,1,1,1,0,2,2,1,0,2,2,2,0,0,2,2,0,1,0,2,0,0,0,1,0,1,1,3,3,1,0,0,3,0,0,2"
